,TEAM,Total.ATT,Total.YDS,Total.YDS.Attempt,LONG,Total.TD,Fullname,Position,School,ATT,YDS,AVG,TD,LNG,FUM,FUML,Week,Opponent
1,WIS,261,1869,7.2,88,15,Jonathan Taylor, RB,WIS,18,145,8.1,2,47,1,1,1,BYU
2,WIS,261,1869,7.2,88,15,Jonathan Taylor, RB,WIS,33,253,7.7,3,43,1,1,2,Illinois
3,WIS,261,1869,7.2,88,15,Jonathan Taylor, RB,WIS,26,117,4.5,0,15,0,0,3,Iowa
4,WIS,261,1869,7.2,88,15,Jonathan Taylor, RB,WIS,25,113,4.5,0,17,0,0,4,Michigan
5,WIS,261,1869,7.2,88,15,Jonathan Taylor, RB,WIS,24,221,9.2,3,88,0,0,6,Minnesota
6,WIS,261,1869,7.2,88,15,Jonathan Taylor, RB,WIS,17,101,5.9,0,23,0,0,7,Nebraska
7,WIS,261,1869,7.2,88,15,Jonathan Taylor, RB,WIS,27,159,5.9,0,19,0,0,8,New Mexico
8,WIS,261,1869,7.2,88,15,Jonathan Taylor, RB,WIS,11,46,4.2,0,10,2,2,9,Northwestern
9,WIS,261,1869,7.2,88,15,Jonathan Taylor, RB,WIS,27,208,7.7,3,38,0,0,10,Penn State
10,WIS,261,1869,7.2,88,15,Jonathan Taylor, RB,WIS,20,185,9.3,1,71,0,0,11,Purdue
11,WIS,261,1869,7.2,88,15,Jonathan Taylor, RB,WIS,33,321,9.7,3,80,0,0,12,Rutgers
12,WIS,261,1869,7.2,88,15,Jonathan Taylor, RB,WIS,19,120,6.3,0,20,0,0,13,Western Kentucky
13,MINN,145,815,5.6,74,6,Mohamed Ibrahim, RB,MINN,9,101,11.2,0,74,0,0,1,Fresno State
14,MINN,145,815,5.6,74,6,Mohamed Ibrahim, RB,MINN,26,95,3.7,0,9,0,0,4,Illinois
15,MINN,145,815,5.6,74,6,Mohamed Ibrahim, RB,MINN,13,62,4.8,0,11,0,0,6,Indiana
16,MINN,145,815,5.6,74,6,Mohamed Ibrahim, RB,MINN,23,157,6.8,2,34,0,0,7,Iowa
17,MINN,145,815,5.6,74,6,Mohamed Ibrahim, RB,MINN,18,49,2.7,1,8,0,0,8,Maryland
18,MINN,145,815,5.6,74,6,Mohamed Ibrahim, RB,MINN,18,98,5.4,2,12,0,0,10,Miami (OH)
19,MINN,145,815,5.6,74,6,Mohamed Ibrahim, RB,MINN,18,155,8.6,0,43,0,0,11,Nebraska
20,MINN,145,815,5.6,74,6,Mohamed Ibrahim, RB,MINN,20,98,4.9,1,29,0,0,12,New Mexico St.
21,MINN,145,815,5.6,74,6,Mohamed Ibrahim, RB,MINN,26,121,4.7,1,18,0,0,13,Northwestern
22,MINN,5,23,4.6,9,0,Jonathan Femi-Cole, RB,MINN,3,13,4.3,0,8,0,0,2,Ohio State
23,MINN,5,23,4.6,9,0,Jonathan Femi-Cole, RB,MINN,1,1,1,0,1,0,0,3,Purdue
24,MINN,5,23,4.6,9,0,Jonathan Femi-Cole, RB,MINN,1,9,9,0,9,0,0,8,Wisconsin
