RK,TEAM,FPI
1,Alabama,29.9
2,Oregon,24.8
3,Oklahoma,23.6
4,Texas A&M,22.9
5,Notre Dame,22.4
6,FSU,22.2
7,Georgia,22.1
8,Kansas State,21.3
9,Florida,20.3
10,LSU,19.5
11,Oklahoma State,19.4
12,South Carolina,18.9
13,Stanford,18.9
14,USC,17.8
15,Clemson,16.9
16,Michigan,16.2
17,OSU,15.9
18,Texas,15.7
19,Oregon State,15.1
20,Baylor,14.3
21,Wisconsin,14.1
22,UCLA,13.7
23,Nebraska,12.6
24,Arizona State,12.4
25,TCU,11.4
26,BYU,11
27,Texas Tech,10.9
28,Vanderbilt,10.6
29,UNC,10.4
30,West Virginia,9.8
31,Penn State,9.6
32,Michigan State,9.3
33,N Illinois,9.3
34,Miss St,9.2
35,Ole Miss,9
36,Boise State,8.9
37,Tennessee,8.9
38,Utah State,8.5
39,Cincinnati,8.5
40,UCF,8.2
41,Fresno State,8.1
42,Missouri,8
43,Arizona,7.5
44,Northwestern,7.1
45,Miami,7
46,Utah,6.8
47,Pitt,6.4
48,Iowa State,6.3
49,VT,6.3
50,LA Tech,6.2
51,Georgia Tech,6.2
52,Washington,5.7
53,Syracuse,5.3
54,San Jose State,5.2
55,Rutgers,5.1
56,Louisville,4.6
57,Tulsa,4.5
58,NC State,3.8
59,San Diego State,3.4
60,Arkansas,3
61,Purdue,2.8
62,Arkansas State,2.7
63,Cal,2
64,Kent State,1.4
65,Iowa,1.2
66,Auburn,0.3
67,Louisiana,0.2
68,UL Monroe,-0.1
69,USF,-0.4
70,Ball State,-0.6
71,Nevada,-1.3
72,Minnesota,-1.5
73,Duke,-1.6
74,Toledo,-1.8
75,UVA,-2.1
76,UConn,-2.2
77,Boston College,-2.7
78,W Kentucky,-3
79,SMU,-3
80,Bowling Green,-3.1
81,Maryland,-3.2
82,Navy,-3.9
83,Indiana,-4
84,ECU,-4
85,Kentucky,-4.6
86,Ohio,-5
87,Temple,-5.1
88,Houston,-5.2
89,Troy,-5.2
90,W Michigan,-5.7
91,Washington St,-6
92,Rice,-6.1
93,Kansas,-6.6
94,Marshall,-6.7
95,Wake Forest,-7.6
96,FIU,-7.9
97,Mid Tennessee,-8
98,Illinois,-8.6
99,Air Force,-8.7
100,Wyoming,-9.5
101,UTEP,-9.8
102,North Texas,-10.1
103,Buffalo,-10.6
104,Cent Michigan,-10.7
105,Texas State,-11.4
106,Army,-11.6
107,Miami (OH),-11.7
108,New Mexico,-12.2
109,FAU,-13.3
110,Colorado State,-13.4
111,Memphis,-13.4
112,UAB,-14
113,UTSA,-14.1
114,UNLV,-14.3
115,Southern Miss,-15.8
116,Akron,-15.8
117,E Michigan,-16.4
118,South Alabama,-16.7
119,Hawai'i,-17.2
120,Colorado,-18.3
121,Tulane,-18.4
122,New Mexico St,-24.2
123,Idaho,-24.5
124,UMass,-25.7
