RK,TEAM,ATT.ALLOWED,YDS.ALLOWED,YDS/A.ALLOWED,YDS/G.ALLOWED
1,Michigan State,365,976,2.7,81.3
2,Texas A&M,346,1104,3.2,92
3,Southern Mississippi,337,1130,3.4,102.7
4,San Diego State,413,1134,2.7,94.5
5,Army,282,1171,4.2,106.5
6,Clemson,504,1208,2.4,92.9
7,Cincinnati,390,1229,3.2,102.4
8,Iowa,393,1234,3.1,102.8
9,Marshall,425,1247,2.9,103.9
10,Mississippi State,411,1251,3,104.3
11,Charlotte,368,1268,3.4,105.7
12,NC State,371,1309,3.5,109.1
13,Utah,447,1323,3,101.8
14,North Texas,407,1361,3.3,113.4
15,Michigan,410,1399,3.4,116.6
16,Air Force,406,1403,3.5,116.9
17,Northern Illinois,531,1426,2.7,109.7
18,Iowa State,441,1467,3.3,122.3
19,Missouri,409,1475,3.6,122.9
20,Washington,429,1513,3.5,116.4
21,Alabama,453,1521,3.4,117
22,Miami,468,1530,3.3,127.5
23,UAB,436,1545,3.5,118.8
24,BYU,422,1553,3.7,129.4
25,Wyoming,424,1554,3.7,129.5
26,Troy,475,1571,3.3,130.9
27,Appalachian State,440,1575,3.6,131.3
28,California,452,1588,3.5,132.3
29,Boise State,438,1598,3.6,122.9
30,Notre Dame,435,1602,3.7,133.5
31,Nevada,463,1622,3.5,135.2
32,Ohio,376,1629,4.3,135.8
33,Washington State,408,1639,4,136.6
34,West Virginia,405,1659,4.1,150.8
35,LSU,436,1672,3.8,139.3
36,Fresno State,469,1687,3.6,129.8
37,Auburn,448,1688,3.8,140.7
38,Stanford,434,1691,3.9,140.9
39,Georgia,418,1698,4.1,130.6
40,TCU,469,1702,3.6,141.8
41,Oregon,457,1717,3.8,143.1
42,Northwestern,446,1724,3.9,132.6
43,Georgia Southern,441,1730,3.9,144.2
44,Kentucky,421,1739,4.1,144.9
45,Utah State,489,1741,3.6,145.1
46,Colorado,467,1747,3.7,145.6
47,Texas,456,1767,3.9,135.9
48,Florida State,503,1772,3.5,147.7
49,Boston College,493,1779,3.6,148.3
50,Georgia Tech,399,1798,4.5,149.8
51,Tulane,464,1831,3.9,152.6
52,Tennessee,448,1854,4.1,154.5
53,Virginia,422,1885,4.5,157.1
54,Louisiana Tech,459,1888,4.1,157.3
55,Kansas State,390,1892,4.9,157.7
56,Wisconsin,431,1895,4.4,157.9
57,Miami (OH),479,1916,4,159.7
58,UTSA,465,1923,4.1,160.3
59,Texas Tech,471,1927,4.1,160.6
60,Arizona,464,1950,4.2,162.5
61,Arizona State,478,1957,4.1,163.1
62,Syracuse,452,1966,4.4,163.8
63,USC,460,1973,4.3,164.4
64,Purdue,447,1975,4.4,164.6
65,Florida,462,1992,4.3,166
66,Arkansas,480,2014,4.2,167.8
67,Penn State,507,2021,4,168.4
68,Western Michigan,452,2030,4.5,169.2
69,East Carolina,475,2037,4.3,169.8
,Oklahoma,506,2037,4,156.7
71,Minnesota,392,2048,5.2,170.7
72,Kansas,468,2061,4.4,171.8
73,Toledo,453,2068,4.6,172.3
74,Western Kentucky,456,2074,4.5,172.8
75,Middle Tennessee,505,2078,4.1,159.8
76,Ohio State,454,2086,4.6,160.5
77,Baylor,416,2098,5,174.8
78,Oklahoma State,480,2146,4.5,178.8
79,Buffalo,515,2149,4.2,165.3
80,Rice,450,2158,4.8,166
81,Texas State,481,2188,4.5,182.3
82,UL Monroe,484,2192,4.5,182.7
83,Indiana,479,2198,4.6,183.2
84,Florida Atlantic,484,2200,4.5,183.3
85,Memphis,538,2204,4.1,169.5
86,Maryland,504,2207,4.4,183.9
87,UNLV,462,2239,4.8,186.6
88,Vanderbilt,464,2247,4.8,187.3
89,Navy,440,2268,5.2,189
90,Temple,559,2284,4.1,190.3
91,Wake Forest,473,2296,4.9,191.3
92,Eastern Michigan,522,2315,4.4,192.9
93,South Carolina,521,2334,4.5,194.5
94,Nebraska,470,2349,5,195.8
,UTEP,475,2349,4.9,195.8
96,SMU,547,2366,4.3,197.2
97,Houston,558,2370,4.2,197.5
98,Florida Intl,481,2381,5,198.4
99,UCLA,520,2393,4.6,199.4
,Pittsburgh,485,2393,4.9,184.1
101,Akron,531,2402,4.5,200.2
102,North Carolina,477,2407,5,218.8
103,Arkansas State,484,2408,5,200.7
104,South Alabama,484,2436,5,203
105,Central Michigan,554,2456,4.4,204.7
106,Virginia Tech,465,2478,5.3,206.5
107,San Jose State,537,2534,4.7,211.2
108,Rutgers,491,2578,5.3,214.8
109,Old Dominion,499,2597,5.2,216.4
110,New Mexico,536,2604,4.9,217
111,Colorado State,494,2634,5.3,219.5
112,Kent State,543,2643,4.9,220.3
113,Ole Miss,523,2661,5.1,221.8
114,Liberty,509,2662,5.2,221.8
115,Duke,517,2668,5.2,222.3
116,Hawai'i,544,2697,5,207.5
117,Louisiana,549,2728,5,209.8
118,UCF,566,2729,4.8,227.4
119,Tulsa,559,2797,5,233.1
120,Ball State,560,2878,5.1,239.8
121,Coastal Carolina,451,2933,6.5,244.4
122,South Florida,585,2936,5,244.7
123,Illinois,494,2943,6,245.3
124,Georgia State,459,3012,6.6,251
125,New Mexico State,636,3221,5.1,268.4
126,UMass,566,3297,5.8,274.8
127,Louisville,553,3327,6,277.3
128,Bowling Green,572,3366,5.9,280.5
129,Oregon State,498,3382,6.8,281.8
130,UConn,524,4020,7.7,335
