RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
1,Alabama,90.3,91.2,59.8,95.4
2,Oregon,88.3,81.7,55.3,91
3,Texas A&M,91.3,74.6,37.7,88.8
4,FSU,74.3,83.8,55.4,84.8
5,Kansas State,78.2,72.1,74,83.4
6,Georgia,83.6,70.6,51,82.4
7,South Carolina,69.2,82,43.2,80
8,Oklahoma,78.4,66.6,54.8,78.4
9,Florida,47,84.5,78.9,78
10,Notre Dame,67.9,81.2,38,77.8
11,Oklahoma State,73.1,70,60.4,77.5
12,Stanford,58.1,82.5,53.6,76.8
13,LSU,53.3,80.7,73.9,76.6
14,Utah State,65.7,74.8,55.6,75.9
15,Clemson,81.7,55.3,54.5,75.6
16,Oregon State,65.9,73.9,57.4,75.3
17,OSU,70.3,69.3,48.1,73.2
18,Boise State,59,73.5,63.1,72.6
19,Texas,76.4,58.7,54.1,72.4
20,Arizona State,66.3,68.7,52.3,71.6
21,USC,61.3,67.2,68.8,71.1
22,Wisconsin,62.2,71.7,47.8,70
23,Baylor,86.1,44.4,31.9,69.7
24,Michigan,70.3,60.7,52.6,69.4
25,Vanderbilt,52.9,71.5,68.8,69.3
26,Northwestern,61.4,62.2,72.8,69
27,Nebraska,68,66,38.9,68.2
28,BYU,46.1,81.8,57.3,68.1
29,TCU,44.2,82.7,50.6,67.9
30,Ole Miss,62.5,71.9,33.6,67.5
31,Fresno State,51.5,77,49.9,67.5
32,UCLA,64.1,63.6,51.5,67.1
33,UCF,64.6,60.2,57.8,66.6
34,San Jose State,63.9,63.2,47.7,66
35,Penn State,52.3,72.1,48.3,64.6
36,Cincinnati,60.9,63.9,46.4,64.6
37,West Virginia,80.6,41.7,38.8,63.9
38,N Illinois,63.4,54.5,65.4,63.8
39,Texas Tech,72.2,47.2,50.1,63.2
40,Arizona,75.4,47,37.7,62.9
41,Louisville,72.1,50.7,33,62
42,Georgia Tech,70.6,50.2,40.3,62
43,Kent State,46.4,60.2,75.9,60.4
44,Michigan State,35.8,81.9,45.7,60.1
45,Syracuse,63.8,55.1,38.7,59.9
46,Iowa State,44.4,65.7,60.9,59.3
47,Miss St,52.9,58,61.2,59.1
48,Rutgers,32.5,78.3,50.6,59
49,Pitt,50.8,60.2,59.3,58.8
50,Miami,67.2,43.3,65,58.8
51,UNC,70,42.8,50.7,58.3
52,Missouri,36.6,71.5,59.6,57.9
53,Washington,39.1,73.4,46.8,57.5
54,LA Tech,78.9,27,54.1,57.5
55,Arkansas State,69.6,49.9,23.7,57.2
56,Tulsa,44.4,66,53.2,56.6
57,Louisiana,64.9,46.7,45.4,55.8
58,San Diego State,56.3,51.1,47.2,54.1
59,VT,31.4,73.9,50.9,53.3
60,NC State,39.5,65.8,48.8,52.7
61,Tennessee,71.2,33.8,45.5,52.6
62,Utah,36.1,61.3,62.8,51.5
63,SMU,29.5,69.7,55.6,51.1
64,Ball State,60.6,31,69.1,49
65,Purdue,42.2,54.2,55.4,49
66,Arkansas,54.3,46.1,41.4,48.3
67,Toledo,45.2,47.7,59.9,47.7
68,UL Monroe,57,40.1,42.7,47.2
69,Cal,39.5,54.3,51.6,46.8
70,Bowling Green,35.2,64,38.4,46.3
71,Minnesota,38.5,58.6,36.8,45.7
72,UConn,22.6,70.5,50.8,45.1
73,Ohio,47.1,40,62.6,44.8
74,W Kentucky,44.7,46.9,45.4,43.9
75,Mid Tennessee,46,38.7,66.9,43.6
76,Iowa,33.4,55.7,50.6,43.4
